i,1DATE PRINTED: 31/10/1,9    00:35:09,,,,,,01/11/19       PAGE,1
?,JACCS INTER. VIETNAM,FINANCE,BRANCH: 01000,,,,,,
?,BRANCH: 01000 JIVF HO,CHI MINH,,,,,,,
?,LIST OF ACCOUNT IN CO,LLECTION,,,,,,,
?,,,,,,,,,
?,CURRENCY : VND,DONG,,,,,,,
?,,,,,,,,,
?,GROUP    : 410,DELIQUENCY GROUP,A,,,,,,
?,,,,,,,,,
?,OFFICER  : CC1,ACCELLENCE COLLE,CTOR,,,,,,
?,,,,,,,,,
?,ACCOUNT NUMBER,MOBILE PHONE,CUSTOMER NAME,TYPE,CURR,DUE DATE,"OVERDUE AMT, P+I","CUR BAL, P+I",OVER DUE
?,-------------------,------------------,------------------------------,----,----,----------,--------------------,--------------------,----------
?,OFFICER  : CC1,ACCELLENCE COLLE,CTOR,,,,,,
?,,,,,,,,,
?,ACCOUNT NUMBER,MOBILE PHONE,CUSTOMER NAME,TYPE,CURR,DUE DATE,"OVERDUE AMT, P+I","CUR BAL, P+I",OVER DUE
?,-------------------,------------------,------------------------------,----,----,----------,--------------------,--------------------,----------
?,20070000005420,90287018,NGUYEN VAN 87018,7,VND,22/10/2019,"612,062","4,841,476",22/10/2019
?,20070000005438,90284264,NGUYEN VAN 84264,7,VND,22/10/2019,"254,364","3,259,553",22/10/2019
?,20080000000883,90242468,NGUYEN VAN 42468,8,VND,22/10/2019,"268,225","3,190,923",22/10/2019
?,20080000000891,90243330,NGUYEN VAN 43330,8,VND,31/10/2019,"392,638","5,057,978",31/10/2019
?,20080000001196,90244215,NGUYEN VAN 44215,8,VND,31/10/2019,"245,612","3,070,153",31/10/2019
?,20080000001220,90243626,NGUYEN VAN 43626,8,VND,31/10/2019,"90,058","90,058",31/10/2019
?,20080000001360,90246182,NGUYEN VAN 46182,8,VND,22/10/2019,"250,183","3,207,286",22/10/2019
?,20080000001485,90246812,NGUYEN VAN 46812,8,VND,31/10/2019,"291,311","3,641,388",31/10/2019
?,20080000001493,90246420,NGUYEN VAN 46420,8,VND,22/10/2019,"379,821","5,158,953",22/10/2019
?,20080000001949,90248876,NGUYEN VAN 48876,8,VND,22/10/2019,"1,063,888","9,072,043",22/10/2019
?,20080000002327,901035234,NGUYEN THI 35224,8,VND,31/10/2019,"111,762","1,608,757",31/10/2019
?,20080000002814,90251236,NGUYEN VAN 51236,8,VND,22/10/2019,"384,724","4,533,383",22/10/2019
?,20080000003184,90252615,NGUYEN VAN 52615,8,VND,31/10/2019,"547,593","5,136,660",31/10/2019
?,20080000003390,901035360,NGUYEN THI 35350,8,VND,22/10/2019,"374,310","4,758,874",22/10/2019
?,20080000003408,90253064,NGUYEN VAN 53064,8,VND,22/10/2019,"259,734","3,326,672",22/10/2019
?,20080000003432,90253581,NGUYEN VAN 53581,8,VND,31/10/2019,"378,395","4,824,793",31/10/2019
?,20080000003549,90253066,NGUYEN VAN 53066,8,VND,31/10/2019,"232,589","2,907,361",31/10/2019
?,20080000003572,90253485,NGUYEN VAN 53485,8,VND,31/10/2019,"216,993","2,712,407",31/10/2019
?,20080000003598,90253053,NGUYEN VAN 53053,8,VND,22/10/2019,"256,824","3,290,300",22/10/2019
